userId,movieId,rating,timestamp
448,69640,3.0,1289145810
352,90866,4.5,1493674691
599,1623,2.5,1498516912
474,2583,4.0,1081177421
465,2278,4.0,959896203
528,1291,3.5,1391736260
599,174055,4.0,1501801164
561,139385,3.5,1491092337
369,36708,3.5,1237081750
599,5945,1.5,1498504990
599,1982,3.0,1498524557
323,1188,4.0,1422640610
488,3052,3.0,1112381914
462,1219,4.5,1190437201
480,235,3.0,1179161589
381,2470,3.5,1167543225
515,59315,5.0,1513602040
606,223,4.5,1171322828
494,1210,4.0,1001666475
99,153,5.0,829828005
470,10,3.0,849075144
157,953,3.0,992479516
372,1474,2.0,874414588
428,5128,2.5,1111489827
474,6380,4.5,1090873529
308,355,3.0,1421374549
458,110,5.0,845651761
571,1994,3.0,966900368
590,6378,3.0,1258422599
474,371,3.0,1046887485
376,1199,3.5,1364932841
425,1291,4.0,1085477620
414,3556,4.0,978619731
510,3481,3.5,1141158951
474,7713,4.0,1100292118
603,2337,3.0,953926333
477,5464,4.0,1200941143
603,3543,5.0,963176106
426,5444,5.0,1451080461
559,420,3.0,845475987
357,2739,5.0,1348609848
380,4366,5.0,1493420358
406,1022,3.5,1296959224
608,3271,4.0,1117491332
599,81834,3.0,1498525401
474,1348,2.5,1053021757
555,1503,4.0,978748249
325,5033,3.0,1039395668
319,152081,4.5,1461351517
391,5541,3.0,1030826615
353,165,5.0,831939669
448,85399,1.0,1338652134
387,2987,3.5,1095040594
484,55820,2.0,1342229134
610,6874,4.5,1493844709
386,204,1.0,842613737
391,5135,4.0,1030827680
391,2683,5.0,1030825002
509,5816,3.5,1435993332
514,74754,1.0,1533946916
573,592,4.5,1186722177
380,40148,2.0,1494268049
511,2571,5.0,1450093985
437,1250,4.0,859721495
380,3702,5.0,1493473834
477,780,4.0,1200939639
409,3526,5.0,967912821
561,69526,1.0,1491091848
408,49530,4.0,1467371306
382,2273,3.5,1515172806
456,708,3.0,856883383
462,912,4.0,1123891831
376,1262,4.0,1364932636
599,1953,3.5,1498539923
603,1904,5.0,963178125
608,1485,3.0,1117408328
414,4985,1.0,1008691553
414,5267,4.0,1031058468
432,193,3.0,1315242265
380,588,5.0,1493474467
599,1237,4.0,1498498783
599,4090,3.0,1519118097
445,296,4.0,1454621792
500,1968,4.0,1005527364
474,1377,2.0,1046886462
414,1223,5.0,961438151
545,33794,3.5,1240358363
415,3861,2.0,1382469879
571,2193,3.0,966900054
354,1265,4.0,1200866267
594,2671,5.0,1108973707
514,2987,3.0,1533949324
474,910,4.0,1076347375
606,475,4.0,1171406628
610,5956,3.5,1479542164
595,2761,5.0,938807031
543,92259,5.0,1377068829
479,1958,4.0,1039362144
414,886,3.0,961516204
453,588,5.0,1005966844
573,500,5.0,1186590149
429,266,4.0,828124616
586,54648,4.5,1529901399
490,81834,3.0,1324376706
610,3265,5.0,1479542010
448,2598,3.0,1019128447
599,32587,3.5,1498500807
448,2369,3.0,1019128415
385,1211,5.0,865024813
603,345,3.0,963176151
390,1381,3.0,1250274702
321,2,5.0,843212595
567,177765,1.5,1525282058
608,1909,3.5,1117504548
405,1206,4.5,1295911364
561,2628,2.0,1491091395
469,2851,3.0,965335989
391,4973,5.0,1030824733
308,1089,1.0,1421374372
601,5952,5.0,1441639519
594,7046,0.5,1108950838
590,4558,3.0,1258417079
414,4915,3.0,1008691259
606,3479,3.5,1171815268
597,1171,5.0,941557863
448,4630,1.0,1028717134
369,1663,3.0,1236830360
