userId,movieId,rating,timestamp
429,595,5.0,828124615
429,588,5.0,828124615
429,590,5.0,828124615
107,140,4.0,829322340
107,105,4.0,829322340
107,104,3.0,829322340
191,99,5.0,829759809
191,95,3.0,829759809
191,94,4.0,829759809
99,10,4.0,829827514
99,228,3.0,829828005
99,413,3.0,829828005
54,150,3.0,830247106
54,296,3.0,830247106
54,590,3.0,830247106
35,150,5.0,830939391
35,592,4.0,830939391
35,595,3.0,830939438
468,590,5.0,831400405
468,150,5.0,831400406
468,380,4.0,831400406
353,296,5.0,831939568
353,380,3.0,831939568
353,590,4.0,831939568
40,380,3.0,832058854
40,592,4.0,832058854
40,296,5.0,832058854
604,296,5.0,832079767
604,588,3.0,832079796
604,344,2.0,832079796
145,380,3.0,832105148
145,296,4.0,832105148
145,592,3.0,832105148
136,296,1.0,832449136
136,380,3.0,832449136
136,150,2.0,832449136
130,592,3.0,832589516
130,590,3.0,832589516
130,150,4.0,832589516
444,296,5.0,832668242
444,380,4.0,832668242
444,344,3.0,832668784
284,592,5.0,832695048
284,590,4.0,832695048
284,150,2.0,832695048
536,590,3.0,832839783
536,150,5.0,832839783
536,592,2.0,832839783
134,590,5.0,832840928
134,592,3.0,832840928
134,380,2.0,832840929
436,380,3.0,833529409
436,592,3.0,833529409
436,150,4.0,833529409
242,380,4.0,834073039
242,592,3.0,834073039
242,296,5.0,834073039
314,380,2.0,834241286
314,590,2.0,834241286
314,592,3.0,834241286
574,592,3.0,834634383
574,380,4.0,834634383
574,296,3.0,834634383
385,296,4.0,834691537
385,592,3.0,834691537
385,590,3.0,834691537
349,296,4.0,834750311
349,344,4.0,834750363
349,349,5.0,834750363
46,590,5.0,834787617
46,592,3.0,834787617
46,349,3.0,834787677
584,590,5.0,834987019
584,592,3.0,834987019
584,150,5.0,834987019
476,592,4.0,835021272
476,590,5.0,835021273
476,150,4.0,835021273
192,590,4.0,835128551
192,150,5.0,835128552
192,380,5.0,835128552
14,592,2.0,835440976
14,590,4.0,835440977
14,150,4.0,835440977
411,296,5.0,835531951
411,380,4.0,835531951
411,590,5.0,835531951
541,380,4.0,835642917
541,592,3.0,835642917
541,590,5.0,835642917
273,590,2.0,835798984
273,592,3.0,835798984
273,150,3.0,835798985
56,296,4.0,835799034
56,592,3.0,835799034
56,380,4.0,835799034
102,592,3.0,835875690
102,590,4.0,835875690
102,380,3.0,835875691
455,592,3.0,836435808
455,590,4.0,836435810
455,150,3.0,836435811
162,592,4.0,836488862
162,590,4.0,836488863
162,150,4.0,836488864
229,592,3.0,836941246
229,590,3.0,836941249
229,150,5.0,836941256
26,592,4.0,836950245
26,380,3.0,836950245
26,296,4.0,836950245
447,592,3.0,836960587
447,590,3.0,836960589
447,150,4.0,836960590
243,592,3.0,837155039
243,380,3.0,837155039
243,588,3.0,837155068
592,592,5.0,837349824
592,590,4.0,837349826
592,150,5.0,837349827
485,592,3.0,837943215
485,590,5.0,837943215
485,150,5.0,837943215
404,590,4.0,838375694
404,380,3.0,838375694
404,296,3.0,838375694
142,592,3.0,838931919
142,590,4.0,838931919
142,380,4.0,838931920
