userId,movieId,rating,timestamp
610,6063,4.0,1493848298
294,1015,1.0,966634003
286,356,4.5,1119562840
298,7926,4.0,1447518364
82,163,4.0,1084521290
202,1376,4.0,974918797
341,136020,4.5,1522174614
217,1876,3.0,956195043
57,1748,3.0,965796495
21,7701,2.5,1419794804
183,3256,3.0,992331702
414,49530,4.0,1166460004
217,2379,3.0,955945401
483,101076,2.5,1415576227
182,1411,5.0,1054780389
509,3000,3.5,1436393181
125,96829,4.5,1474295813
298,5481,2.5,1447598246
84,1395,3.0,860397530
21,119145,4.0,1468113211
140,6669,1.0,1117729292
117,586,4.0,844162913
520,59784,4.0,1326611025
313,2076,4.0,1030556067
443,96430,5.0,1501722543
271,1805,2.5,1234301782
232,48520,3.0,1182909854
131,7361,3.5,1349840371
280,7451,5.0,1347605314
274,1198,4.0,1212003426
590,163,3.0,1266472591
239,1221,5.0,1221158628
305,187593,5.0,1532877841
525,6188,1.0,1476479638
29,2028,5.0,1362016835
274,2567,3.5,1197015011
597,442,1.0,941729405
372,318,5.0,874417242
144,150,3.0,1137323392
21,96004,2.0,1418063462
140,6448,4.0,1058312818
263,4034,4.0,1090948181
21,39715,2.5,1376823734
168,3543,4.5,1306802277
226,5139,3.5,1130137064
84,537,3.0,858772239
244,1288,5.0,975075046
249,3826,2.0,1346752244
610,1036,5.0,1493850224
274,26778,4.0,1228303507
582,5618,3.5,1446794188
103,2409,4.0,1431969127
68,2096,3.0,1261623516
255,1194,5.0,1005717492
232,3948,4.0,1141776652
182,1291,3.5,1054783760
51,1499,0.5,1230930470
525,4246,3.5,1476479382
223,2316,4.5,1226209457
91,1391,4.0,1112713509
489,80551,3.5,1333832517
116,3,3.5,1337200325
256,170,4.5,1447000182
606,4392,3.0,1262965699
274,76293,3.0,1293217946
402,719,3.0,852552188
111,3408,3.5,1516140880
330,317,0.5,1285905480
603,4420,3.0,1000194556
217,2334,3.0,955940968
381,70286,3.5,1262898685
263,5445,4.0,1026158404
24,5791,4.0,1458944146
105,5989,4.5,1446571824
393,5902,0.5,1430507509
308,2248,4.5,1421375440
266,260,4.0,945670679
534,2706,4.5,1459787999
96,454,4.0,964774139
453,5502,4.0,1034602132
177,6378,4.5,1435526032
404,508,3.0,838376177
305,551,3.5,1460563729
84,508,4.0,857653693
82,1,2.5,1084467729
41,608,4.0,1458939466
177,71535,5.0,1435524764
249,2,4.0,1353800871
91,1089,4.0,1112711148
239,3408,4.5,1221158623
50,7700,4.0,1514239814
1,1625,5.0,964983504
48,1690,4.5,1127128869
200,1556,2.0,1229889886
410,597,4.0,990910776
332,1224,3.5,1352674367
599,85510,2.0,1519120609
387,3298,3.0,1208707019
89,73015,1.5,1520408671
215,912,4.5,1260908781
187,37733,4.0,1161849878
432,3623,3.0,1328232854
288,2867,3.0,975692661
187,2329,3.0,1161850457
489,3176,3.5,1334170432
246,4144,5.0,1354125280
4,265,5.0,964538468
42,3052,3.0,996216117
274,64957,3.5,1245055831
176,454,4.0,840108984
342,24,3.0,1042822170
